2026-03-16 10:54:29.049496 | IP:127.0.0.1 | Attack:SQL Injection
2026-03-16 10:58:04.910725 | IP:127.0.0.1 | Attack:SQL Injection
2026-03-16 10:58:10.609726 | IP:127.0.0.1 | Attack:SQL Injection
2026-03-16 10:58:57.839005 | IP:127.0.0.1 | Attack:XSS
2026-03-17 15:45:38.036590 | IP:127.0.0.1 | Attack:SQL Injection
2026-03-17 15:45:38.244574 | IP:127.0.0.1 | Attack:XSS
2026-03-17 15:45:38.457735 | IP:127.0.0.1 | Attack:Directory Traversal
2026-03-17 15:45:38.687646 | IP:127.0.0.1 | Attack:Command Injection
2026-03-17 15:45:39.100168 | IP:127.0.0.1 | Attack:SQL Injection
2026-03-17 15:45:39.310225 | IP:127.0.0.1 | Attack:XSS
2026-03-17 15:45:39.519429 | IP:127.0.0.1 | Attack:Directory Traversal
2026-03-17 15:45:39.727461 | IP:127.0.0.1 | Attack:Command Injection
